Name,Categories,Funding,Location
Acorns,Personal Finance,257,"Irvine, California"
Addepar,Wall Street,240,"Mountain View, California"
Affirm,Lending,450,"San Francisco, California"
Axoni,Wall Street,59,"New York, New York"
Ayasdi,Wall Street,106,"Palo Alto, California"
Behavox,Wall Street,15,"New York, New York"
Betterment,Investing,275,"New York, New York"
Bitfury,Crypto & Blockchain,150,"Amsterdam, Netherlands"
Blend,Real Estate,160,"San Francisco, California"
Bolt,Payments,20,"San Francisco, California"
Brex,Payments,215,"San Francisco, California"
Cadre,Real Estate,133,"New York, New York"
Carta,Wall Street,148,"Palo Alto, California"
Chime,Personal Finance,105,"San Francisco, California"
Circle,Crypto & Blockchain,246,"Boston, Massachusetts"
Coinbase,Crypto & Blockchain,525,"San Francisco, California"
Credit Karma,Personal Finance,869,"San Francisco, California"
Cross River,Wall Street,128,"Fort Lee, New Jersey"
Digital Reasoning,Wall Street,110,"Nashville, Tennessee"
Earnin,Personal Finance,190,"Palo Alto, California"
Enigma,Wall Street,130,"New York, New York"
Even,Personal Finance,51,"Oakland, California"
Flywire,Payments,142,"Boston, Massachusetts"
Forter,Payments,100,"New York, New York"
Fundrise,Real Estate,59,"Washington, United States"
Gemini,Crypto & Blockchain,0,"New York, New York"
Guideline,Investing,59,"San Mateo, California"
iCapital Network,Investing,80,"New York, New York"
IEX Group,Wall Street,100,"New York, New York"
Kabbage,Lending,489,"Atlanta, Georgia"
Lemonade,Personal Finance,180,"New York, New York"
LendingHome,Real Estate,166,"San Francisco, California"
Marqeta,Payments,116,"Oakland, California"
Nova Credit,Lending,20,"San Francisco, California"
Opendoor,Real Estate,1000,"San Francisco, California"
Personal Capital,Investing,225,"Redwood City, California"
Plaid,Payments,310,"San Francisco, California"
Poynt,Payments,132,"Palo Alto, California"
Remitly,Payments,175,"Seattle, Washington"
Ripple,Crypto & Blockchain,94,"San Francisco, California"
Robinhood,Investing,539,"Menlo Park, California"
Roofstock,Real Estate,75,"Oakland, California"
Root Insurance,Personal Finance,178,"Columbus, Ohio"
Stash,Investing,117,"New York, New York"
Stripe,Payments,685,"San Francisco, California"
Symphony,Wall Street,300,"New York, New York"
Tala,Lending,105,"Santa Monica, California"
Toast,Payments,248,"Boston, Massachusetts"
Tradeshift,Payments,400,"San Francisco, California"
TransferWise,Payments,397,"London, United Kingdom"
